你是大学生，对不对？,nǐ shì dà xué shēng ， duì bù duì ？,"eres un estudiante universitario, ¿verdad?"
对， 我是大学生。,duì ，   wǒ shì dà xué shēng 。,"sí, soy un estudiante universitario."
我是大学生。,wǒ shì dà xué shēng 。,soy un estudiante universitario.
大学生，老师,dà xué shēng ， lǎo shī,"estudiantes universitarios, profesores"
她不喜欢数学课。,tā bù xǐ huan shù xué kè 。,a ella no le gusta la clase de matemáticas.
他上中文课。,tā shàng zhōng wén kè 。,él toma lecciones de chino.
我不上英文课， 你呢？,wǒ bù shàng yīng wén kè ，   nǐ ne ？,yo no tomo clases de inglés ¿y tú?
音乐,yīn yuè,música
她上数学课。,tā shàng shù xué kè 。,ella está en la clase de matemáticas.
我上音乐课，你呢？,wǒ shàng yīn lè kè ， nǐ ne ？,estoy en clase de música ¿y tú?
我上数学课。,wǒ shàng shù xué kè 。,estoy en la clase de matemáticas.
我喜欢数学课，你呢？,wǒ xǐ huan shù xué kè ， nǐ ne ？,a mí me gusta la clase de matemáticas ¿y a ti?
你上音乐课，对不对？,nǐ shàng yīn lè kè ， duì bù duì ？,"estás en clase de música, ¿verdad?"
你不喜欢数学课， 对不对？,nǐ bù xǐ huan shù xué kè ，   duì bù duì ？,"no te gusta la clase de matemáticas, ¿verdad?"
他上英文课。,tā shàng yīng wén kè 。,él toma clases de inglés.
他喜欢英文课，对不对？,tā xǐ huan yīng wén kè ， duì bù duì ？,"le gusta la clase de inglés, ¿verdad?"
医生,yī shēng,doctor
音乐,yīn yuè,música
说,shuō,explicar
数学,shù xué,matemáticas
中文课,zhōng wén kè,clase de chino
热水和茶,rè shuǐ hé chá,agua caliente y té
豆腐和汤,dòu fu hé tāng,tofu y sopa
汤和粥,tāng hé zhōu,sopa y gachas
这是豆腐,zhè shì dòu fu,esto es tofu.
米饭,mǐ fàn,arroz
咖啡和茶,kā fēi hé chá,café y té
米饭和粥,mǐ fàn hé zhōu,arroz y gachas
嗨，我是美国人。,hāi ， wǒ shì měi guó rén 。,"hola, soy estadounidense."
中国，日本，韩国,zhōng guó ， rì běn ， hán guó,"china, japón, corea del sur"
嗨，我是西班牙语人，你呢？,hāi ， wǒ shì xī bān yá yǔ rén ， nǐ ne ？,"hola, soy hispanohablante, ¿y tú?"
对，我是学生。,duì ， wǒ shì xué sheng 。,"sí, soy estudiante."
对，我是英文老师。,duì ， wǒ shì yīng wén lǎo shī 。,"sí, soy profesora de inglés."
我说中文和英文。,wǒ shuō zhōng wén hé yīng wén 。,hablo chino e inglés.
律师,lǜ shī,abogado
老师,lǎo shī,maestro
医生,yī shēng,doctor
说,shuō,"hablar, explicar"
